trips,routes
1874_20,2762
3045_8,2767
4808_93,2769
1554_33,2770
3002_12,2772
2302_2,2774
1774_4,2787
5252_20,2788
1927_50,2789
2863_0,2791
1743_0,2792
4359_2,2804
3257_3,2807
3031_4,2808
4468_19,2809
5437_12,2810
1029_28,2812
4104_5,2821
1784_15,2822
1927_63,2825
1740_24,2833
4369_36,2834
3571_2,2843
4699_78,2844
2284_22,2845
3920_5,2846
1285_7,2847
1543_9,2848
3293_22,2851
5341_1,2852
4730_81,2853
1816_3,2854
5105_49,2857
1485_5,2858
4043_4,2862
4543_33,2863
5144_48,2864
2098_27,2865
4442_9,2867
1418_49,2872
5010_24,2877
1961_33,2900
3770_17,2903
1784_68,2906
1418_11,2910
5329_0,2911
3770_9,2912
2728_59,2913
3428_45,2926
4543_20,2929
2302_1,2930
3503_25,2931
2525_13,2937
2011_16,2939
4356_0,2943
1961_51,2945
3431_71,2947
4051_72,2952
1228_5,2960
2274_12,2963
2143_63,2968
3424_26,2979
1364_39,2980
2138_21,2985
4839_16,2990
4543_6,2992
3866_68,2995
1773_20,2996
4012_81,2997
2435_0,3000
1059_19,3002
1189_30,3003
3922_53,3004
4012_89,3005
2302_23,3006
1464_73,3008
3105_39,3009
1170_2,3010
3498_4,3013
1788_65,3014
2267_10,3017
2100_28,3018
5545_21,3022
5019_17,3023
3750_1,3025
4730_27,3027
1327_14,3028
2284_71,3030
4467_65,3031
4288_4,3032
5084_40,3033
1427_28,3034
1415_107,3040
4467_77,3043
1975_40,3045
4267_20,3050
4699_12,3064
1097_1,3067
5570_0,3071
4275_61,3073
1468_12,3074
2997_40,3078
4500_1,3079
4013_28,3080
4786_0,3081
2772_23,3087
1183_3,3091
1788_61,3092
5199_0,3094
2143_30,3095
1082_14,3096
5445_0,3097
1179_3,3099
2274_30,3102
4808_69,3104
4836_20,3105
3032_51,3106
1364_64,3107
4433_20,3108
3318_13,3110
4611_29,3111
2143_96,3114
1788_85,3115
1230_25,3116
2833_3,3118
3328_4,3120
1030_2,3121
4401_98,3122
4723_39,3124
1882_21,3125
3356_0,3127
4012_64,3133
5583_0,3143
3426_19,3146
4012_39,3153
4611_6,3155
1341_7,3166
1794_3,3168
1951_1,3169
1962_25,3174
1030_12,3177
1550_32,3179
1968_3,3183
1510_25,3185
4104_0,3189
3821_21,3192
1731_20,3193
3108_0,3195
5608_5,3198
1557_2,3200
2926_0,3201
2608_27,3204
4176_0,3209
1439_15,3210
5122_64,3211
2013_50,3213
3200_10,3217
1084_48,3219
1357_27,3224
1165_8,3225
4836_94,3231
1439_68,3232
1420_70,3234
5266_39,3238
1731_40,3243
2098_17,3248
1363_18,3249
1740_51,3250
4539_10,3251
4136_2,3255
4993_10,3257
4188_1,3258
2111_54,3262
4870_0,3267
1788_87,3269
1030_11,3273
4402_5,3280
4275_54,3283
4322_14,3284
1826_70,3286
2255_67,3288
2822_2,3289
1369_16,3291
3776_43,3293
1470_44,3295
1842_17,3297
5122_35,3299
4858_42,3300
2025_9,3307
1579_18,3309
3318_23,3313
1874_66,3314
1740_27,3315
2997_7,3317
1972_3,3318
2455_1,3320
3861_11,3322
4359_6,3323
1690_0,3328
1230_58,3332
1788_67,3342
2503_11,3345
1085_25,3348
2276_12,3355
4808_5,3356
3898_26,3357
5613_0,3361
2609_7,3362
2297_15,3364
4665_25,3365
4136_1,3366
4808_76,3368
4467_23,3370
2864_2,3371
3620_5,3372
1963_16,3374
3922_43,3376
1962_26,3378
4261_3,3380
3374_1,3381
1537_6,3383
4841_0,3391
1253_3,3399
1412_1,3401
3821_47,3410
2632_17,3412
1826_33,3413
2389_0,3415
3318_56,3417
3503_4,3418
4737_0,3419
2626_19,3423
1882_25,3424
3423_9,3426
1579_5,3428
5437_8,3429
1183_13,3430
1182_26,3431
4051_69,3432
1826_65,3433
1234_11,3434
4288_2,3440
2143_12,3441
1952_0,3443
1420_34,3445
5293_17,3447
1537_47,3448
3765_20,3449
4836_16,3450
4568_5,3460
1084_20,3463
2551_33,3468
5105_22,3474
4947_48,3482
3866_19,3486
3318_62,3489
4207_0,3494
4094_17,3497
4372_45,3498
4839_14,3501
1439_46,3503
1662_3,3505
5166_0,3506
2512_0,3508
4895_56,3509
2111_2,3524
5545_14,3535
2407_0,3540
2499_69,3553
1975_66,3554
2629_11,3555
3956_41,3556
5053_5,3557
3332_2,3560
5252_26,3561
3556_16,3562
3817_0,3563
1413_16,3564
4145_6,3567
3374_2,3571
4401_23,3572
5001_69,3573
2110_0,3576
4861_17,3577
1521_1,3585
2205_32,3598
5382_16,3599
1070_23,3600
4012_95,3610
4442_6,3611
2114_3,3612
1962_57,3613
2608_3,3616
1742_3,3617
4949_46,3618
4322_36,3619
1406_34,3620
4730_45,3621
3922_74,3623
3563_8,3624
2525_7,3626
5472_13,3628
1963_13,3629
3498_45,3630
5545_25,3631
4947_46,3632
4809_6,3649
2426_1,3657
4693_38,3667
1927_74,3668
2274_33,3675
1464_63,3677
3762_12,3681
3105_64,3683
4051_44,3693
2633_69,3694
4568_13,3695
4056_30,3698
1753_0,3699
5170_0,3700
3013_8,3701
2520_0,3702
4094_28,3704
1829_8,3709
4474_3,3712
4680_4,3714
1230_6,3719
1975_59,3730
5493_7,3745
2138_15,3746
2626_45,3749
1963_29,3750
4474_12,3751
4013_33,3752
3753_31,3753
2500_0,3754
3364_0,3755
4723_66,3756
4181_58,3757
4946_24,3758
4730_21,3759
1029_21,3760
1114_0,3762
1418_2,3763
1379_4,3765
1464_87,3767
2024_8,3769
1080_7,3770
4322_4,3771
3125_3,3774
4539_18,3776
1767_0,3778
1537_28,3779
2660_3,3785
4094_34,3787
1784_39,3789
2116_9,3795
1415_19,3797
4267_8,3800
1379_14,3803
5047_16,3804
1279_9,3806
2503_12,3807
1554_4,3808
2211_4,3809
1537_74,3811
5119_3,3812
1784_7,3815
5545_19,3816
1446_15,3817
4467_85,3818
2747_3,3821
1784_0,3822
3753_5,3832
1417_35,3834
2136_26,3835
1414_0,3842
1439_9,3843
2728_30,3844
1830_2,3848
2227_3,3849
3753_0,3850
4723_46,3851
5165_1,3852
1927_59,3853
3776_98,3855
4693_50,3857
2532_3,3859
3498_17,3860
4272_34,3861
1539_4,3862
2024_11,3863
3494_5,3866
2123_18,3867
2633_48,3868
1678_2,3869
1518_23,3870
5122_65,3875
1554_41,3876
4807_12,3886
1784_19,3887
3804_0,3892
4732_16,3898
2499_16,3899
1464_55,3900
3621_0,3901
1684_1,3902
4783_0,3903
3297_0,3904
5339_4,3905
3909_5,3909
5144_20,3910
3030_15,3911
4856_15,3912
1285_3,3914
5576_10,3917
2772_70,3918
1413_8,3920
1788_16,3921
5060_22,3922
4752_10,3924
2302_15,3927
1417_27,3930
1829_3,3936
1082_12,3937
2522_2,3938
1102_0,3939
5064_12,3940
1497_1,3943
2772_81,3948
4468_16,3949
1365_46,3952
4094_29,3955
3776_105,3956
2551_72,3957
1539_20,3958
3620_4,3959
3269_3,3960
2736_2,3962
2629_14,3967
1056_0,3980
1788_56,3981
3095_47,3997
4855_18,3998
4802_4,4004
1364_14,4006
1557_5,4008
3776_11,4009
2739_46,4010
1414_9,4011
4694_5,4012
1516_2,4013
2205_18,4014
4283_0,4019
5047_20,4022
2098_30,4028
1083_0,4029
2298_1,4033
1874_21,4037
1927_34,4043
1443_18,4046
2626_20,4047
4401_37,4048
2284_61,4049
1427_45,4050
3124_22,4051
5144_77,4056
4665_19,4057
3124_3,4059
5122_0,4060
1229_20,4062
3905_2,4063
1415_47,4072
1503_17,4073
4135_22,4080
4327_82,4081
3920_23,4085
1537_51,4089
1420_10,4090
3776_51,4091
1784_54,4092
3318_89,4093
5293_2,4094
3431_29,4095
4836_46,4096
1842_5,4097
5059_26,4098
1830_10,4099
1365_21,4101
5252_35,4102
4057_3,4103
4732_18,4104
2031_10,4117
4467_55,4119
1788_86,4120
1322_4,4123
5104_8,4128
1179_22,4130
4180_4,4132
1518_20,4133
1550_28,4134
2700_4,4135
3789_0,4136
1355_4,4137
4047_2,4138
3169_11,4139
3002_0,4140
1335_1,4143
4442_13,4144
1531_8,4145
3372_5,4148
4433_27,4153
1951_6,4163
1555_33,4164
3174_58,4165
4012_26,4174
2626_47,4175
2251_2,4176
4695_16,4177
1443_28,4178
3169_0,4179
3753_1,4180
2143_97,4181
2633_24,4185
1364_63,4186
2111_51,4187
4433_3,4188
2302_21,4189
1419_6,4190
4655_0,4191
2608_11,4192
2413_9,4193
4433_54,4200
1029_0,4203
2303_7,4207
3318_66,4208
1537_21,4211
1730_3,4217
1382_17,4218
1534_49,4225
1826_38,4226
1690_1,4227
2008_2,4239
1180_8,4240
5608_14,4243
4181_12,4246
5451_4,4248
1070_10,4251
1449_11,4253
4373_8,4255
4694_11,4259
4724_0,4261
3866_36,4262
2633_83,4264
5287_0,4267
1417_53,4269
4400_2,4271
1678_6,4272
3106_12,4275
4327_54,4280
1518_47,4282
1439_82,4283
5388_0,4284
4442_16,4285
3821_38,4286
3821_54,4287
1228_10,4288
1469_14,4289
5001_76,4291
4598_64,4292
3571_17,4293
1624_1,4294
3616_22,4297
4275_108,4304
3124_0,4305
1624_5,4308
4499_36,4315
1394_7,4318
4539_20,4321
3812_2,4322
1258_11,4325
1083_28,4326
5437_2,4327
1003_29,4330
1601_20,4331
1417_19,4333
5085_16,4334
5001_63,4335
4947_12,4336
4808_2,4337
1478_5,4341
2276_5,4346
2205_35,4349
1341_6,4353
4731_80,4356
5087_3,4359
5144_39,4361
3524_3,4364
2518_14,4365
1365_22,4367
1523_56,4369
4730_10,4371
4286_0,4372
3428_3,4373
4186_5,4376
4264_1,4377
3022_1,4380
2140_3,4384
3503_29,4396
3087_13,4397
5087_22,4398
3371_1,4400
1228_9,4401
2845_30,4402
1770_1,4413
4359_5,4430
3169_3,4433
2632_13,4434
1279_6,4435
2085_5,4437
4468_28,4439
2024_12,4440
4889_11,4442
1571_5,4443
1503_8,4445
3498_28,4447
3189_14,4448
4012_44,4449
1423_1,4453
3293_3,4455
3095_23,4463
3105_45,4464
2911_0,4465
4275_60,4467
2324_8,4468
4050_6,4470
4671_7,4473
3498_39,4474
4272_18,4476
4889_13,4477
1464_4,4481
4699_28,4489
4377_8,4494
3869_0,4498
4377_9,4499
1826_76,4500
2513_4,4501
3776_30,4502
2276_14,4508
4993_0,4510
2098_1,4511
4808_84,4512
4543_46,4513
3372_19,4523
1180_14,4524
1537_93,4526
1001_9,4528
1406_28,4536
2853_17,4537
4693_6,4539
3318_27,4541
4946_18,4543
2499_13,4544
1449_6,4545
4132_4,4547
3506_3,4549
2276_15,4554
3821_39,4559
2995_11,4567
2115_34,4568
2014_0,4569
5064_17,4570
2085_8,4571
1428_6,4572
1550_79,4573
1428_17,4574
1379_11,4575
2013_64,4579
1523_64,4581
5019_15,4582
2319_0,4587
3573_0,4590
1420_80,4592
2085_17,4594
4946_39,4597
5011_7,4598
1003_1,4599
3898_20,4600
2143_31,4601
3318_91,4603
4164_2,4604
4699_46,4606
1954_0,4607
1258_21,4609
4778_12,4611
4051_49,4613
1081_30,4614
1382_25,4619
2115_24,4624
1560_21,4626
4730_39,4643
1469_7,4652
3318_59,4655
2138_17,4664
1182_19,4665
1003_22,4666
4267_18,4668
1788_41,4670
1427_31,4671
4947_34,4673
2626_33,4680
4693_30,4686
1230_78,4690
3318_47,4693
3030_7,4694
5252_41,4695
2383_30,4697
3105_56,4698
1364_44,4699
1369_1,4700
5437_9,4701
5544_23,4703
3433_2,4705
3108_1,4710
2297_27,4718
1387_8,4720
2383_21,4721
1307_8,4722
4513_2,4723
1076_11,4724
2205_23,4727
4322_6,4730
1059_57,4731
3174_18,4732
1315_1,4733
4730_25,4736
2377_6,4737
1365_37,4741
4579_25,4742
1081_32,4745
2284_62,4747
5042_6,4750
5001_21,4751
1571_8,4752
2143_27,4754
4756_3,4755
4731_67,4756
3503_17,4763
3508_19,4777
2138_27,4778
5375_0,4780
1858_16,4781
3497_36,4783
3189_29,4784
1537_66,4786
5019_35,4791
3433_1,4802
2251_1,4804
1268_6,4806
3289_1,4807
1975_26,4808
3146_14,4809
1413_19,4813
3901_1,4814
4756_6,4815
2123_16,4817
1275_11,4820
4523_5,4825
1740_79,4826
1736_6,4829
3620_11,4830
2013_1,4831
2626_100,4832
1488_0,4836
4523_12,4837
5029_8,4838
1503_26,4839
1183_6,4841
5085_13,4847
3213_1,4848
1366_34,4849
4012_7,4852
3118_13,4854
4372_1,4855
1470_84,4856
1185_23,4857
5347_0,4858
2997_12,4861
1972_9,4870
1424_0,4876
1639_10,4877
5451_8,4878
5059_9,4879
5105_34,4887
3300_4,4889
4730_2,4890
4511_0,4893
1328_20,4894
5493_1,4895
1428_15,4898
4050_34,4901
1482_40,4902
2609_10,4908
3785_10,4909
2394_5,4910
1998_0,4911
3198_7,4914
4723_1,4916
1378_30,4918
1555_20,4920
4369_44,4921
5332_4,4923
2353_2,4926
1397_4,4927
1180_7,4928
3598_12,4930
4327_13,4934
1423_14,4943
4909_0,4946
4476_20,4947
5010_33,4949
4401_35,4964
2394_7,4967
3428_62,4968
1901_0,4975
3921_6,4983
1874_22,4986
4856_17,4992
1413_60,4993
4808_89,4994
4731_36,4995
3486_24,4997
3013_16,4998
1812_5,5001
3866_65,5002
1082_27,5010
2394_14,5011
2843_0,5012
5368_0,5013
5324_7,5016
2013_17,5018
4856_23,5019
3626_1,5020
1308_5,5022
1740_21,5024
3463_3,5028
1328_13,5029
1223_18,5031
4377_1,5032
3258_0,5036
3106_4,5037
1570_12,5039
4590_12,5040
2821_0,5042
1826_54,5043
2013_34,5047
3611_0,5050
2708_5,5053
2143_43,5054
4308_9,5057
4808_86,5058
4671_9,5059
2143_93,5060
2115_15,5063
2810_9,5064
3763_16,5065
3391_0,5067
1982_3,5068
1503_14,5071
2633_80,5073
5381_4,5077
1229_46,5079
3318_6,5080
4006_2,5081
1579_26,5082
3018_6,5083
1439_70,5084
1397_10,5085
1560_9,5086
3763_24,5087
2525_11,5090
4308_11,5096
5065_8,5100
1431_27,5102
4699_44,5103
4327_53,5104
4335_14,5105
4464_2,5106
1550_82,5112
3146_1,5115
1726_5,5119
2772_51,5120
3318_24,5121
5144_11,5122
1393_11,5127
2739_27,5128
4315_1,5130
1470_48,5132
1543_16,5139
4401_95,5141
3118_4,5142
3503_9,5144
1423_12,5145
3146_12,5146
4947_25,5151
4611_10,5154
2644_0,5155
3087_6,5156
5308_8,5158
