stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
17168,47.3768440104406,8.54393955051998,0,-1,0,0,0,0
17169,47.469955553704786,9.10652746358383,1,-1,0,1,0,0
17170,47.40400436973501,9.470902109179107,1,-1,0,0,0,0
17171,46.8812036822077,7.47102770762964,2,-1,0,0,0,0
17172,47.0307395946393,8.28351794961748,3,-1,0,0,0,1
17173,46.451753817091706,6.87390855503943,2,-1,0,0,1,0
17174,47.4396455313675,7.966250957527992,2,-1,0,0,1,0
17175,46.552653578176795,6.777393560900201,3,-1,0,0,0,0
17176,47.0425494965724,8.48713009194436,1,-1,0,1,0,0
17177,46.925559865086406,7.37645307450437,2,-1,0,0,1,0
17179,47.5011705710765,8.762059484687411,1,-1,0,0,0,0
17180,47.3291609713229,7.904330084985008,1,-1,0,1,0,0
17181,47.1190514857274,7.98018382758662,2,-1,0,0,1,0
17182,46.5315838616785,6.6110255702581,3,-1,0,0,0,0
17183,46.26300753001221,7.399647575143571,2,-1,0,0,1,0
17184,47.3985138272571,8.454179887318269,0,-1,0,0,0,0
17185,46.00343688631829,8.947669388718019,3,-1,0,0,0,1
17186,46.4601393736606,7.28195030660184,2,-1,0,0,1,0
17187,46.1826532483242,8.8495284439143,3,-1,0,0,0,1
17188,47.480125843240394,8.52336813051078,0,-1,1,0,0,0
17189,46.993272245726786,6.92295656955919,2,-1,0,0,0,0
17190,46.51473456491061,6.65798949331841,2,-1,0,0,1,0
17191,45.92032859411611,9.04210029139781,3,-1,0,0,0,1
17192,47.659605530371294,8.430123004006191,1,-1,0,1,0,0
17193,47.3911070728222,9.380055484483462,1,-1,0,0,0,0
17194,46.886569864887896,7.38810422374102,2,-1,0,0,0,0
17195,47.04944811042439,7.995536035794362,2,-1,0,0,1,0
17196,47.2068630840658,8.7534446411115,1,-1,0,1,0,0
17197,47.158513505154,7.294589602651159,2,-1,0,0,1,0
17198,47.3465046899033,7.9064501090558315,1,-1,0,1,0,0
17199,47.3633011748736,7.947233622960532,1,-1,0,1,0,0
17200,47.026514578226795,8.632136145127111,1,-1,0,1,0,0
17201,47.40739083097961,9.32639012940269,1,-1,0,0,0,0
17202,46.967396663487996,7.751975812777129,2,-1,0,0,1,0
17203,47.362455392787396,8.52184997768041,0,-1,0,0,0,0
17204,47.189430807840395,9.44269500925383,1,-1,0,0,0,0
17205,47.1866469730145,9.4281692511076,1,-1,0,0,0,0
17206,46.391141419120906,6.22903496193879,2,-1,0,0,1,0
17207,47.2250766216014,8.38851304003999,1,-1,0,1,0,0
17208,47.092839324910095,8.35916507970372,3,-1,0,0,0,1
17209,45.960009324635294,8.90175649454028,3,-1,0,0,0,1
17210,46.4686350079566,6.84268311575909,2,-1,0,0,1,0
17211,47.231030511579895,8.834598443890151,1,-1,0,1,0,0
17212,47.4174698884865,7.243313766226491,2,-1,0,0,1,0
17213,47.855308548579906,7.6281610171497,1,-1,0,1,0,0
17214,46.728103380899,7.61628528909199,2,-1,0,0,1,0
17215,47.20427546109139,7.6838385984671795,2,-1,0,0,1,0
17216,46.696764394750396,6.47811982395412,2,-1,0,0,1,0
17217,47.2704581411674,7.6948070280878,2,-1,0,0,1,0
17218,46.2260364216696,7.39742873639148,2,-1,0,0,1,0
17219,46.631070944181396,9.74674778351209,1,-1,0,1,0,0
17220,46.7186383138208,7.15794686476472,2,-1,0,0,1,0
17221,46.9681751974133,9.688357290036187,1,-1,0,1,0,0
17223,47.2308536126044,7.68290435057156,2,-1,0,0,1,0
17224,47.5681454996092,7.607284169943861,-1,"[1, 2]",0,1,1,0
17225,47.4001312558115,7.02061242410941,2,-1,0,0,1,0
17226,46.8357599612773,7.2813753848199285,2,-1,0,0,1,0
17227,46.803960905541,7.155449548274518,2,-1,0,0,1,0
17228,47.43847894498779,9.53538318028219,1,-1,0,0,0,0
17229,46.6893150140316,9.38656827029423,3,-1,0,0,0,1
17230,46.634623982464895,10.4577194152275,1,-1,0,1,0,0
17231,45.8359753339513,9.01303080879965,3,-1,0,0,0,1
17232,47.3640678433212,8.6200897371654,0,-1,0,0,0,0
17233,46.6254818390418,7.69420515684736,2,-1,0,0,1,0
17234,46.7895581639295,7.52122556571323,2,-1,0,0,1,0
17235,47.1803889166041,8.24099170406134,1,-1,0,1,0,0
17236,48.4415325795299,8.688981536314111,1,-1,0,1,0,0
17237,47.229365197840785,8.67495883472705,1,-1,0,1,0,0
17238,47.22961530324329,8.66068460486041,1,-1,0,1,0,0
17239,47.187123165638596,7.58975803874825,2,-1,0,0,1,0
17240,46.7443323819281,6.91867160565334,2,-1,0,0,1,0
17241,47.0569149920231,7.262690426907638,2,-1,0,0,0,0
17242,47.1198033586484,7.983193183788838,2,-1,0,0,1,0
17243,47.490136342826005,7.720741390343949,2,-1,0,0,1,0
17244,47.0637016027028,8.849348780857449,1,-1,0,1,0,0
17245,47.6527378099705,9.16906817367293,1,-1,0,1,0,0
17246,46.763221070689,8.65883407537486,1,-1,0,1,0,0
17247,47.359638049613,7.33148341137509,2,-1,0,0,1,0
17248,46.719057102711,6.52895548588952,2,-1,0,0,1,0
17249,46.191938312929295,7.27877925364846,2,-1,0,0,1,0
17250,46.497144160986004,9.64240846324708,1,-1,0,1,0,0
17251,46.206102321758614,7.180800005595911,2,-1,0,0,1,0
17252,46.1363849191744,7.24282867597299,2,-1,0,0,1,0
17253,46.9125827134433,6.56796931868426,2,-1,0,0,0,0
17254,47.3505278132198,7.08875862157221,2,-1,0,0,1,0
17255,47.148824864485796,8.50714455647732,1,-1,0,1,0,0
