stop_name,stop_lat,stop_lon,stop_id
"Hilterfingen, Post",46.7355104694218,7.65805694980936,90
"Liestal, Bahnhof",47.4846244298898,7.73165592104752,91
"Vuiteboeuf, collège",46.8077177758172,6.54929334392482,92
"Allschwil, Grabenring",47.554039540601,7.54157240690137,93
"Daillon, la Vella",46.2554550490106,7.30731873022891,94
"Brusio, Pergola",46.2529642412457,10.1270765085556,95
"Ponte Tresa, Chiesa",45.9698439030518,8.85826006847716,96
"Biel/Bienne, Schleusenweg/Eclu",47.1414319646173,7.25592611281728,97
"Bern, Zentrum Paul Klee",46.9508056807512,7.47287823711518,98
"Saas-Fee, Wildi",46.1156585847333,7.93396550621224,99
"Lovens, Les Esserts",46.7740318496374,7.02456501136009,100
"Rapperswil SG, Bahnhof Süd",47.2241066110099,8.81764723447646,101
